Gene ID	Symbol	Description	Proteins	Protein Num	Peptide Num	Unique Peptide Num	Unique Strict Peptide Num	Strict Peptide Num	Area	FoT(1e-6)	iBAQ	PSMs
1	A1BG	alpha-1-B glycoprotein	P04217	1	25	25	25	25	14933272744.5	727.578303532	678785124.751	39
2	A2M	alpha-2-macroglobulin	P01023	1	47	47	47	47	1323965668.55	17.0980292128	15951393.5969	64
144568	A2ML1	alpha-2-macroglobulin like 1	A8K2U0	1	1	1	1	1	742073500.0	10.1976415816	9513762.82051	1
51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3	1	1	1	1	1	9501910.0	0.565829819091	527883.888889	1
16	AARS1	alanyl-tRNA synthetase 1	P49588	1	1	1	1	1	912210.0	0.0168583186613	15727.7586207	1
80755	AARSD1	alanyl-tRNA synthetase domain containing 1	Q9BTE6	1	1	1	1	1	226433300.0	9.70840109895	9057332.0	1
18	ABAT	4-aminobutyrate aminotransferase	P80404	1	1	1	1	1	3301300.0	0.101103076485	94322.8571429	1
8647	ABCB11	ATP binding cassette subfamily B member 11	O95342	1	1	1	1	1	1154425.0	0.0167217384776	15600.3378378	1
4363	ABCC1	ATP binding cassette subfamily C member 1	P33527	1	1	1	1	1	5916320.0	0.0712539710143	66475.505618	1
8714	ABCC3	ATP binding cassette subfamily C member 3	O15438	1	2	2	2	2	26653250.0	0.348404490566	325039.634146	2
5825	ABCD3	ATP binding cassette subfamily D member 3	P28288	1	1	1	1	1	13292828.5714	0.323826324832	302109.74026	1
6059	ABCE1	ATP binding cassette subfamily E member 1	P61221	1	2	2	2	2	606832511.111	18.0681531387	16856458.642	2
23	ABCF1	ATP binding cassette subfamily F member 1	Q8NE71	1	1	1	1	1	45750418.3333	1.04338511095	973413.156028	1
26090	ABHD12	abhydrolase domain containing 12	Q8N2K0	1	1	1	1	1	40407.1	0.00188311685204	1756.83043478	1
84836	ABHD14B	abhydrolase domain containing 14B	Q96IU4	1	1	1	1	1	1042720.0	0.0931394954745	86893.3333333	1
10006	ABI1	abl interactor 1	Q8IZP0	1	2	2	2	2	103459221.0	4.62067460398	4310800.875	2
25890	ABI3BP	ABI family member 3 binding protein	Q7Z7G0	1	6	6	6	6	335437809.167	5.7991954619	5410287.24462	6
30	ACAA1	acetyl-CoA acyltransferase 1	P09110	1	1	1	1	1	3297970.0	0.176751915312	164898.5	1
10449	ACAA2	acetyl-CoA acyltransferase 2	P42765	1	1	1	1	1	195398.4	0.00910627142016	8495.5826087	1
31	ACACA	acetyl-CoA carboxylase alpha	Q13085	1	3	3	3	3	74833932.2549	0.560931659205	523314.211573	3
32	ACACB	acetyl-CoA carboxylase beta	O00763	1	1	1	1	1	30573287.2549	0.219939529598	205189.847348	1
33	ACADL	acyl-CoA dehydrogenase long chain	P28330	1	1	1	1	1	83400083.3333	3.4382746091	3207695.51282	1
37	ACADVL	acyl-CoA dehydrogenase very long chain	P49748	1	1	1	1	1	37060900.0	0.902839826563	842293.181818	1
176	ACAN	aggrecan	P16112	1	4	4	4	4	75048268.0	1.20064134521	1120123.40299	4
23527	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Q15057	1	1	1	1	1	14059700.0	0.295497153265	275680.392157	1
